;0
396;" (including But Not Limited To)Review and analyze pricing requests within APJ for the SDWAN business unit, provide guidance and negotiate with the sales team to reach final pricing agreement,Collaborate with extended teams to accurately assess and price cross-portfolio deals,Escalate deals to Snr Management as necessary, providing high level summary and pertinent decision making information,Become efficient with all sales related systems, tools and processes to a level that allows provision of a highly competent service to the sales team,Identify potential issues and problems with tools or process and escalate them for resolution to prevent interruption to the work of the sales team,Engage with peers or the regional sales operations analyst to ensure the most expedient and efficient resolution of issues,Occasional entry of quotes into the system may be required, plus ad-hoc administration of quoting backlog,Provide reports/analysis on pricing requests and other required data sets,In addition to the above, the analyst will be required to engage in other Operational aspects of the extended role including, but not limited to: Ad-hoc Reporting/Analytics, SFDC data integration and maintenance, support to field sales teams on various issues, POS report processing etc.Experience And Skills1-2 years of experience,Pricing experience is essential, preferably in a large competitive MNC,Familiarity with SaaS and/or SW Subscription pricing models (helpful),A strong numerical mindset is key, with an ability to quickly identify risk factors,Skilled at use of Microsoft Office Suite, particularly Excel, and Salesforce applications,The ideal candidate will be analytically minded; a problem solver; focused, organized & driven; self-starter; have strong communication skills; passion & pride in their work; flexibility to adjust to requirements and ability operate in a dynamic and fast changing environmentJoin us and make your mark!We OfferA competitive salary and extensive social benefitsDiverse and dynamic work environmentWork-life balance and support for career developmentAn amazing life inside the element! Want to know more about it?Then let’s stay connected!https://www.facebook.com/HPECareershttps://twitter.com/HPE_CareersHPE is an Equal Employment Opportunity/ Veterans/Disabled/LGBT and Affirmative Action employer. We are committed to diversity and building a team that represents a variety of backgrounds, perspectives, and skills. We do not discriminate and all decisions we make are made on the basis of qualifications, merit, and business need. Our goal is to be one global diverse team that is representative of our customers, in an inclusive environment where we can continue to innovate and grow together.This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE officeHPE is an equal opportunity employer/Female/Minority/Individual with Disabilities/Protected Veteran Status1101874This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE officeHPE is an equal opportunity employer/Female/Minority/Individual with Disabilities/Protected Veteran Status          "
397; more options             Data Engineering & Platform Developer | Quant Hedge Fund | HK              Michael Page                        Hong Kong, Hong Kong SAR          On-site            1 month ago                            3 applicants                Full-time · Entry level5,001-10,000 employees · Staffing and Recruiting11 school alumniSee how you compare to 3 applicants. Try Premium for freeActively recruiting     Apply         Save            Save Data Engineering & Platform Developer | Quant Hedge Fund | HK at Michael Page                    Data Engineering & Platform Developer | Quant Hedge Fund | HK            Michael PageHong Kong, Hong Kong SAROn-site     Apply         Save            Save Data Engineering & Platform Developer | Quant Hedge Fund | HK at Michael Page                  Show more options              Cutting Edge TechnologyHigh Performance Quant FirmAbout Our ClientMy client is a globally renowned quant trading firm, best known for their long successful track record, highly sophisticated & technology driven within HFT industry. Gather the top talents across the globe, the firm is looking to continue expansion in Hong Kong.Your Future RoleJob DescriptionTo be a front office engineer in highly efficient teamWork closely with quants and traders and provide support for trading platform and productsTo handle various large quantity dataset (monitor, data health, integration)Design and implement APIWork on tactical development, tools development for the support, traders, and businessThe Successful ApplicantYour ExperienceBachelors of Science in Engineering, Computer Science or Mathematics or aboveHighly Proficient in Python is a must, other languages (C#/C++) would be a plusHands on development experience in data analytic platforms, data management, API, etc.Familiar with AWS or other cloud platformsGood communication skills, and ability to work with teams across the globeWhat's On OfferCutting edge technologyBuy-side exposureCompetitive salary packageInternational / agile environmentContact: Ronald ToQuote job ref: 4152945  
398;PhD or Master degree in STEM, mathematics, physic, computer science, engineering and quantitative financeExpertise in C++ or Java, familiar with Python programmingFamiliar with Linux environment, TCP/IP and multithreaded developmentGood knowledge with kdb+/Q and experience with High frequency strategies will be advantageAble to work efficiently and independently in a fast-paced, high pressure and agile environmentGood team work and communication skills, both written and oralSelf-motivated, self-driven and lifetime learnerBeneficial with knowledge of financial markets and related financial products, and understanding of pricing, execution of the trading transactions, and product life cycleIf you are seeking a dynamic environment in which to build your career in CLSA, please send your resume to recruitment@clsa.com. Kindly specify the position title in the email subject for job application.CLSA may collect personal data from you for purposes relating to your engagement with the Company, including human resource management and other business and internal / external compliance purposes. Any personal information and /or data collected and held by the Company may be used by the Company or transferred (whether within/ outside Hong Kong) to any other parties within the Company, subsidiaries and affiliates of the Company, internal or external service providers, or any other relevant parties including governmental or regulatory authorities, for the above purposes.  
399; and Skills:Ability to effectively use various search engines to navigate websites and compare data.UHRS experience is a plus but not requiredIn-market knowledge: bilingual /native language proficiency and cultural knowledge are required.The marketplace tasks are available “around the clock” making the job highly flexible. The tasks can be performed from any desktop or laptop. The availability of the tasks can vary daily creating a very dynamic environment.Benefits:Contractor position Freelance remote worker (you work from home)Can be used as a primary or supplemental source of income.About VolgaWe have extensive experience of software development experience many large companies. Our vision is to provide cost effective and scalable solutions to the ever-changing world of software development life cycle. Clear vision to be the best in the business by partnering with clients in a way to act as an extension of internal staff. Commitment to excellence and cutting-edge solutions to form lasting strategic partnerships.Payment Methods:WisePayPalLanguages:#Cantonese (required)English (preferred)Job Types: Full-time, Contract, New-GradPay: $7.00 to $8.00 UD (U.S. Dollar) per hour, depending on experience#data #labeling #cantonese #hongkong #香港  
400; salary to HRA Division, Yusen Logistics Global Management Limited at Level 31, Tower 1, Kowloon Commerce Centre, 51 Kwai Cheong Road, Kwai Chung, N.T. or by email to [email redacted, apply via Company website]Yusen Logistics Global Management Limited is an equal opportunity employer. All information collected will be used for recruitment purpose only.          
401;To maintain, drive + continuously improve our strategy for extracting, gathering, cleaning, transforming, organizing, storing + managing data.To define target audiences, data collection objectives + tracking plans as per business requirements.To determine, simplify + refine the core set of data points, events + properties, establishing clear approval processes for events to be added/removed/updated.To develop + maintain operational definitions + procedures to govern data availability, validity, accuracy, completeness, consistency + uniformity.To build, deploy + maintain data support tools.To govern + supervise the execution of data collection, cleaning, transformation + organization, along with diagnosing data quality issues with automated reports + alerts.To engage with business owners + end users to understand, specify + drive changes to processes, systems + hardware required to enable our data strategy.To continuously simplify, integrate + automate processes to improve data quality as well as availability against the lowest possible cost. Your Skills And ExperiencesIdeally you should have solid experience in data engineering. Knowledge in logistics/supply chain will be a plus but not a must. Your technical skills + eagerness to learn new technologies, together with your capability in managing complexity + ambiguity will be the key to your success.Good Reasons to JoinYou will work with talented individuals coming from different countries around the globe whereby you can gain access to professional development opportunities and international exposure in a team-based environment. To find out why Kuehne + Nagel is the best place to develop your career, start a conversation with us and click apply today! req84201  
402; more options             Blockchain/Solidity Developer              Jobs via eFinancialCareers                        Hong Kong, Hong Kong SAR          On-site            5 days ago                            1 applicant                Full-time · Entry level201-500 employees · Staffing and RecruitingSee recent hiring trends for Jobs via eFinancialCareers. Try Premium for free     Apply         Save            Save Blockchain/Solidity Developer at Jobs via eFinancialCareers                     Blockchain/Solidity Developer            Jobs via eFinancialCareersHong Kong, Hong Kong SAROn-site     Apply         Save            Save Blockchain/Solidity Developer at Jobs via eFinancialCareers                  Show more options              Our ClientsWe are representing some of the biggest Crypto Unicorn, Digital Asset, and GameFi, companies in the market, that are looking to expand their team due to the rapid growth in the industry.GeneralResponsible for research, design, development, and application of smart contract related technologiesParticipate in the technical solutions and full development life cycleThe ideal candidate will have an interest in blockchain technology, best demonstrated through active involvement in the DeFi, NFT, GameFi or web3 spaceWork closely with other teams on blockchain research and developmentExperience with one or more Blockchain protocol: Solana, Ethereum, Smart ContractGood At One Or More Of These Programming LanguagesRust, C++, Golang, Next.js, JavaScript, Java, Python, React, Node.jsApply now to find out more about potential job opportunities!          
403;  Proven experience with cross-platform mobile application development with iOS and/or Android  Proven experience with React Native mobile development  Developed and shipped at least one consumer-based mobile application at medium to big scale  Proven experience in a software engineering/development and design  Understanding of current and latest trends of mobile and web development  Experience with high-volume personalized, player facing software systems  Experience working in agile environment  Experience working in test driven development  Please feel free to contact me at eric.andrianto@teksystems.com or call to me at +852 5169 0068 if you have any questions.About TEKsystemsWe're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.          
404; Technical Skill SetSQL, PL/SQL, Oracle 10g/11g/12c, AIX and Solaris, database installation, troubleshooting, fine tuning work, optimization of database performance, audit trail, security checksDesired Competencies (Technical/Behavioral Competency)Must-HaveDegree in IT or Engineering with 6 years relevant working experience with bank, software house, consulting firms or system integratorGood interpersonal skills and client facing project experienceMinimum 3 years of fulltime work on Oracle database in one or more of the following roles: PL/SQL developer, DBA, and/or database consultant/specialistProficient in Oracle database, SQL, PL/SQL, Oracle 10g/11g/12c, AIX and Solaris, database installation, troubleshooting, fine tuning work, optimization of database performance, audit trail, security checks, etcGood understanding of web technologies and web application server configuration (Websphere, Weblogic, Tomcat, and/or JBoss)Good-to-Have Oracle 10g/11g/12c OCP database and web application server administrator certification would be an advantageReasonably good command of spoken and written English to liaise with the client resources  
405;":Familiar with the Linux operating system and Linux shell programming;Familiar with mysql and other commonly used database, distributed storage or NoSQL database technology, such as MongoDB;Proficient in Java, familiar with object-oriented programming ideas, familiar with at least one java-based web framework.proficient in one or more of the following big data techniques, such as flume, Kafka, HDFS, MR, Elasticsearch;familiar with the commonly used data mining algorithms will be a plusGood mathematics foundation, good learning ability and cooperation willingness.Two years’ experience in Java development. Hong Kong - - Hong Kong  "
406;Support the delivery of projects / initiatives of Operations Division Analyze business requirements and provide input to test planConduct testing activities, and analyze, document and communicate test resultsUndertake ad-hoc tasks as assigned by supervisorsJob Desired Skills And ExperienceUniversity Degree, preferably in business, information technology or related disciplinesAt least 3 years’ of relevant experience in financial industry with knowledge in securities clearing and settlement or risk managementSelf-motivated with good written and spoken communication and interpersonal skillsConversant with MS Word / Excel / PowerPoint, proficiency in Macros is a plusApplicants who do not hear from us within 6 weeks may consider their applications unsuccessful. Personal data provided will only be used for the purpose of employment application to HKEX.Primary LocationAsia Pacific-Hong KongJobBusiness Analyst/ IntelligenceJob Posting19-Aug-2021, 4 19 32 PMUnposting DateOngoing          
407;BS/BE in Computer Science/Computer Engineering/Electrical & Computer Eng.Programming skills in Python language.Knowledge of at least one popular Python framework (like Django, Flask ...) is a plus.Programming skills in Java is a plus.Familiarity & Knowledge in front-end technologies such as HTML5, CSS, JQuery, JS, etc.Strong knowledge of REST APIs and webservices.Strong knowledge of Relational Databases (MySQL, PostgreSQL, SQL Server ...) and SQL language.Knowledge of NoSQL databases is a plus.Knowledge of AWS is a plus / Knowledge of data visualization tools, mainly Tableau, is a plus.Ability to work in a team environment.Strong problem-solving skills and analytical skills.Resilience and a determination to succeed.Independent thinkers with growth mindset.Must be passionate, self-motivated, and able to learn quickly.Strong sense of integrity.Personal values that match our company values.Job Location:The role will be based in our Corporate office in Dubai.Office Location:Jumeirah Business Centre 2, Cluster V, Jumeirah Lake Towers, Dubai, United Arab Emirates.Some videos for your reference:Who is Elexon? For the UK market, they are the system administrator.What Elexon does - YouTubeSome general information about electricity trading arrangements in the UKElectricity trading arrangements - YouTubeElexon sushi video. Tries to explain the balancing of the UKs electricity grid.Elexon Simple as Sushi on VimeoThe videos above are UK centric, but our current interest is Europe wide. Feel free to research the other markets. This is a longer video explains why there is such large opportunity going forward for the electricity traders who can efficiently analyse supply and demand fundamentals and move power between countries, for the benefit of all.Is 100% Renewable Possible By 2050? - Interconnectors.Once Europe is conquered, we do genuinely intend on going global. The American power markets look next on the plate, followed by the Australian and Japanese.          
408;:Individuals who meet the following requirements or possess the equivalent combination of competence and experience are invited to apply: Degree qualified in Mechanical / Building Services Engineering with 5 years experience or Higher Diploma with 7 years experience Good command of written English and Cantonese. At least 3 years’ relevant experience in building automation industry or Elec. / Mechanical system Knowledge of any of the following systems for CMCS, BMS and SCADA. Knowledge and experience in PLC control system is preferred Knowledge of Building Services and Electrical Wiring standards is preferred Experience on Airport Systems (AS) is an advantage Possess skills for Software Programming (e.g. STEP7, WinCC) is an advantage Possess skills for AutoCAD or Microstation is an advantage Team player, able to work in complex environment, overtime and under pressure.Organization: Smart InfrastructureCompany: Siemens LimitedExperience Level: Experienced ProfessionalJob Type: Full-time          
409;" Advanced Degree in a numerate discipline Significant experience working with large volumes of unstructured data Experience building state of the art machine learning models to meet business needs (gradient boosting, transformers etc) Solid understanding of data science fundamentals, core libraries and tools Experience working in a collaborative, technical environment (data science, quant or technology) Ability to explain complex subject matter to a non-technical audience; ability to tell a story with data Working knowledge in Python, PyTorch, TensorFlow Fluency in Mandarin (Reading Chinese and Spoken Mandarin)Highly Advantageous Knowledge of Chinese alternative data landscape Demonstrable passion for data science - Kaggle, open source contributions etc CFAInterested parties please click “Apply Now” to apply job.All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.          "
410;"Practical experience with the services used by Veriscope. These services includeNethermind (POA framework);PHP8, NodeJS, Postgres, NGinx;Laravel and VueJSPractical experience with UNIX, including how to check the status of services, access and retrieve logs, perform basic troubleshooting and develop automation scripts ;Passion for problem solving;Proactive with outstanding communication skills and client empathy;Fluent in English, Cantonese and Mandarin.Nice to havePractical experience with the development and implementation of solidity smart contractsWhy work for Shyft?Working at Shyft Network means to work with and learn from leading experts and pioneers of the crypto industry. Focused on solving complex problems to facilitate crypto adoption and operate with a decentralized ethos. With talent from around the world, we pride ourselves in our ability to offer competitive pay, with a flexible work-from-anywhere culture. We offer our team members a number of wellness perks, along with lunch and learns from experts in and around the field of blockchain, capital markets, DeFi, cryptography and more. We are a lean and agile team, focused on data-driven results in an extremely fast paced industry. If you are ready to pioneer a first-of-its-kind solution and create systems that shyft the world, join us.  "
411; Higher Diploma or Degree Holder in IT or Computer Science is preferred  Minimum 3-4 years of hands-on experience on VBA/SQL/.net assignments.  Hands on experiences for Alteryx as added advantages  Intermediate VBA/SQL user experience level required  Advanced knowledge of Microsoft Excel functions, macros, and programming.  High aptitude for analytical thinking and problem solving.  Able to trouble shoot effectively and efficiently.  Demonstrate good judgement in selecting methods and techniques for obtaining solutions, resolving issues or in making recommendations.  Proficient in written and spoken English Make an impactOur global presence in more than 80 countries allows you to impact how global and diverse clients do business as well as give back to the global communities we operate inBe part of One TMFAt TMF Group, it’s our people who make us who we are. Our company thrives on entrepreneurial spirit and is full of proactive people who combine enthusiasm with responsibility and accountability.A world of opportunityRegardless of where you are in your career, TMF Group opens a world of opportunity where you will be part of our team and is supported in your global career journey.          
412;":Degree holder majoring in Computer Science, Information Technology or related discipline;Proficient in at least one of the following programming languages: Java, Python and/or Javascript;Experience in programming, preferably JAVA and Unix environment, is an advantage;Good communication, analytical and problem solving skills; andProficiency in both of English and ChineseWe regret to inform that only shortlisted applicants will be notified. Personal data collected will be used for recruitment purposes only. For our Privacy Policy, please visit: https://www.mufgamericas.com/candidate-privacy-policies-by-countryMUFG Bank Ltd is an equal opportunity employer. We view our employees as our key assets as they are fundamental to our long-term growth and success. MUFG Bank Ltd is committed to hiring based on merit and organsational fit, regardless of race, religion or gender.  "
413; more options             Resident Engineer            SYW & Associates Limited                    Hong Kong, Hong Kong SAR          On-site            2 weeks ago           See recent hiring trends for SYW & Associates Limited. Try Premium for free     Apply         Save            Save Resident Engineer at SYW & Associates Limited                     Resident Engineer            SYW & Associates LimitedHong Kong, Hong Kong SAROn-site     Apply         Save            Save Resident Engineer at SYW & Associates Limited                  Show more options                    This job is sourced from a job board.      Learn more HKIE Member or RPE in Structural / Civil / Geotechnical discipline  At least 5 years post-chartered relevant experience  Strong communication and organization skills  Strong command of both written & spoken English & Chinese  All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.            Pay range unavailable  Salary information is not available at the moment.        Are you interested in salary information for this job?          Yes/    No  
414;Around 5 years of technical support experience with Apple and Mac machine management platforms (WorkSpace One UEM (Airwatch), Microsoft Intune, and Jamf)Experience in supporting a multi-location environment in a medium to large-scale enterprise. Experience with hardware and software inventory management.Excellent customer service personality.Excellent communications skills in English and Cantonese.Bachelor's Degree is highly preferred.If this outstanding opportunity sounds like your next career move, please send your resume in Word format to Danny Kwan at resume(at)pinpointasia(dot)com and put Apple & Mac MDM Engineer - Large Enterprise in the subject header.Data provided is for recruitment purposes only.          
415;" more options             2022 Graduate Engineer (Digital Services)              Arup                        Hong Kong, Hong Kong SAR          On-site            2 weeks ago                            41 applicants                Full-time · Entry level10,001+ employees · Design78 school alumniSee how you compare to 41 applicants. Try Premium for freeActively recruiting     Apply         Save            Save 2022 Graduate Engineer (Digital Services) at Arup                     2022 Graduate Engineer (Digital Services)            ArupHong Kong, Hong Kong SAROn-site     Apply         Save            Save 2022 Graduate Engineer (Digital Services) at Arup                  Show more options                          A career at Arup offers you the opportunity to make a positive difference in the world. Dedicated to sustainable development, Arup is a collective of 16,000 designers, advisors and experts working across 140 countries. We collaborate with and advise our clients and partners, using imagination, advanced technologies, and rigour to shape a better world. With about 3,000 staff, our East Asia offices engage in many of the region’s most prominent and innovative projects covering buildings, infrastructure, advisory services, planning, technical consulting, digital, climate and sustainability services. We embrace equality, diversity and inclusion in all aspects and provide flexible work arrangements to support the various needs and well-being of our people. Currently we are looking for a capable and independent individual for the following position as part of the multi-disciplinary team.Who are we looking for?You Should Be a Well Motivated And Creative Graduate Who Want To Work In Artificial Intelligence, Internet Of Things, Java And Python Programming, Smart Technologies In The Built Environment And Web Or Mobile Applications In The Following Disciplines Information Systems Engineering Computer Science Electronics Engineering Big Data, Data Analysis or equivalentYou will be involved in assisting project design works; preparing calculations and drawings; modelling of engineering behaviour, etc.Your Arup Journey We encourage our graduates to develop qualities of diligence and perseverance; and to enhance abilities of team excellence and innovation.You will be offered a broad spectrum of diversity training and inclusion opportunities throughout your journey with Arup. You will meet all the graduates in East Asia Region through our stimulating and enjoyable Graduate Induction Programme in which the concept of equality, diversity & inclusion is integrated. Arup is an Equal Opportunity Employer and a Caring Company, we strive to provide an equal, diverse and inclusive workplace for you.You will achieve a professional status through project experience and structured training via our online learning platform and other in-house learning activities. In addition, you are encouraged to leverage the opportunities in cross-disciplinary rotation and international mobility programmes to rev up your career development.Other Benefits 5-day work 15-day annual leave Overtime compensation Chinese New Year bonus Medical scheme (extended coverage to spouse and children) Option between ORSO scheme and MPF Profit sharing Insurance coverage (Life, personal accidental & permanent total disability) Flexible working arrangementsTo learn more about our Graduate Programme, please visit us:https://www.arup.com/careers/early-careers/graduates/east-asia-graduate-programmeStart here, go anywhere!Act now and apply online!Please ensure you have provided full resume, academic transcripts and covering letter. Any outstanding documents may delay your application with us.Personal data collected will be used for recruitment purposes only.          "
416; Work with subject matter experts to develop solutions that meet business the business requirements.  Develop web front-end and java services integrated in the end to end processing of the derivative products.  Build a stable, efficient, scalable cloud based solution which will be deployed globally.  Design and code a significant amount of a robust, secure and efficient API to persist / retrieve data and implement the business logic  Participation in code reviews and sharing of knowledge with other members of the team.  Associate/VP level based in Hong Kong We are looking for a highly talented and driven technologist who has a track record of delivering high-quality solutions in an investment bank or other fast-paced industry where first class solutions with 5 9's uptime are the norm.Essential Skills Solid hands-on experience on Java and React.js  Self-starter , delivery focused , strong experience on Agile programming  Experience in Redux, Saga, JSS, SpringCloud, JMS  Familiar with Microservices architecture and cloud-based technology  Sound knowledge of one or several scripting languages (Python, JavaScript, Ruby .etc.). Open to new/different technologies.  Strong OO design skills with good knowledge of object modelling and design patterns.  Keen to understand and solve business related problems.  Computer science background with an intellectual rigour  Experience of messaging e.g. AMQ, Tibco .etc.  Ability to solve complex problems and a track record of high performance and delivery.  Understanding of derivatives products.  Strong communication and team-working skills Desirable Skills Experience of working in financial services, in a front or middle-office environment.  Exposure to NoSQL systems (Cassandra, MongoDB .etc.)  Agile development techniques J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world's most prominent corporations, governments, wealthy individuals and institutional investors. Our first-class business in a first-class way approach to serving clients drives everything we do. We strive to build trusted, long-term partnerships to help our clients achieve their business objectives.We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.          
417; more options             Business Intelligence Intern              Green Proposition                        Hong Kong SAR          Remote            2 days ago                            29 applicants                Internship11-50 employeesSee recent hiring trends for Green Proposition. Try Premium for free Your profile matches this job     Easy Apply         Save            Save Business Intelligence Intern at Green Proposition                     Business Intelligence Intern            Green PropositionHong Kong SARRemote     Easy Apply         Save            Save Business Intelligence Intern at Green Proposition                  Show more options                   Posted by                  Muhammad Rizwan             HR Manger at Green Proposition                   Send InMailGreen Proposition is looking for Business Intelligence Interns who have a good command over Mandarin and English languages. The ideal candidate should have a fair knowledge of the Asian Market, outstanding in MS Office and basic knowledge of python would be a good add on. The candidate should be willing to dedicate four hours per day during week days. Internship duration: 3-6 months.We provide a dynamic ecosystem where our interns can boost their skills in a fun and engaging work environment. Though this is an unpaid position, you might receive performance basis rewards, as well as a certificate of completion at the end of the internship program. Internship duration: 3-6 monthsWhat you’ll do:Research and analysis of Datasets Assist and conduct Focus group surveysScraping, Visualization and Interference of Data Data Review for errorsDevelop a preliminary report on the basis of Data Work with other departments to deliver the final report What you’ll need:Able to dedicate 4 hours a day during weekdaysSelf starter, confident and motivatedFluent in both written & spoken Mandarin and English Hands-on and team player attitudeShowing close attention to detailsInnovative and troubleshooter Able to work with team members from different part of the world  
418;Experience in programming in one or more programming languages such as Java, Javascript, C#, Python, etc.Experience in 3D modelling an assetFresh graduates will also be considered.Experience with big data technologies e.g. AWS, Azure, or Watson will be an assetCreative, genuine interest in programming and likes to play new technology  
419; assetsFluent in English and Chinese Able to work in small team in a start-up environment    Pay range unavailable  Salary information is not available at the moment.        Are you interested in salary information for this job?          Yes/    No  
420;" And DutiesDevelop low latency exchange connectivity and trading algorithms, including quoting, hedging, and arbitrage for listed derivatives and delta one productsWork closely with quants and traders to define the behavior of trading algorithmsDevelop C++ applications for core trading infrastructureTest code thoroughly, including automated testing, and actively participate in code reviewsProvide Tier 3 supportWhat You OfferUniversity degree in Computer Science or related fieldStrong technical design skills3+ years of C++ server-side development on Linux (C++ 11 or later desirable)Solid understanding of threading, network socket programming and low latency programming techniquesExperience in developing automated trading systems desirable but not essentialExperience of exchange connectivity and finance desirable but not essentialExperience with Kafka a plusSolid data analysis skillsExcellent communication in spoken and written English Candidates with more experience will be considered as ""Senior Software Developer"" What We OfferAn exciting opportunity to be trained in the highly competitive low latency electronic trading domainA dynamic work environment where the focus is on getting things done efficiently instead of working long hours every dayA flat management structure, where everyone's voice is valuedA hands-on experience in the most exciting part of the financial industryAn attractive benefits package where your contribution will be rewarded handsomely in line with our performance-based remunerationAll information provided will be treated in strict confidence and used solely for recruitment purposes.Due to the high number of responses that we receive, we are only able to respond to successful applicants.          "
421;" Support with end-to-end scoping, execution, and delivery of Launchpad Luna, Brinc’s Blockchain and NFT Accelerator program.Generate and coordinate educational and market research material for the Program.Analyse the technical viability of potential startups and conduct technical due diligence during the startup selection and Investment Committee process.Mentor startups and assist them with their technical needs, including but not limited to:Participate in the design, architecture, and implementation of a program startup’s different software components, including smart contracts, frontends, and backends;Play a central role in the blockchain design, be innovative, assess the feasibility, and give insight on cost/benefit for different concepts;Enforce adequate level of security for managing crypto-assets;Participate in technical and functional aspects of blockchain on several projects;Conduct continuous research on blockchain technologies and keep an eye on any tech stack or standards;Coordinate and manage Launchpad Luna’s mentor program.Build Brinc’s network of external technical mentors related to the field.Liaise with external parties including academics and researchers in relevant verticalsRepresent Launchpad Luna at various events, conferences, panels and speaking engagements.Maintain an understanding of key industry, technology and regional trends that are relevant for our corporate customers. Work with experts from across the organization to develop hypotheses, conduct primary research, perform targeted data analysis, synthesize market insights and publish thought leadership pieces. Provide support on a range of ad hoc projects that may include targeted market research, investment thesis definition for new markets, new product creation, accelerator program and marketing analytics, and operational improvement initiatives. This role is highly dynamic and collaborative. To execute your responsibilities, you will be working with cross-functional teams with members from different divisions and geographies.Ideal ExperiencePassionate about technology, startups, innovation or a particular industryDetail-oriented, highly organized, and comfortable working in a fast-paced environmentSelf-motivated and the ability to flourish with minimal guidance or supervisionProven track record in managing and delivering projects from concept to executionComfortable building relationships with corporate clients and startup foundersProficient in data analysis and presentation developmentExcellent English verbal and written communication skills. In-depth understanding of all the technical and functional aspects of blockchains (consensus, security models, tokenomics, etc.) and crypto-wallets (keys management, UX, etc), with a robust knowledge of Ethereum;Proficiency in at least one of the following languages: Go/C++/Rust (code-literacy with one of the Ethereum node implementations) and with Javascript (Web3);Experience designing and implementing systems based on blockchain (separation of duties between chain, frontends and backends);Experience with Smart-Contracts full development cycle (Solidity) and knowledge of the standards for token contracts (ERC-20, ERC-721, ERC-1155, etc.);Strong experience with UNIX systems (Linux) and Cloud Infrastructures (AWS, GCP, etc.).Experience working with startups and/or early stage projectsNice to havePhD (or strong programming experience) in Blockchains, Decentralised Systems, Cryptography, Virtual Machines or related discipline;Experience as a core blockchain developer, software architect and/or technical lead;Experience in blockchain gaming;Deep understanding of major public blockchains and scalability solutions;Experience implementing Crypto-Wallets,Experience with GPGPU and/or Crypto Mining,Experience in the Financial / Fintech industry.Interview processAt Brinc we believe in getting the right talent on board. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. Our process is objective and we have all candidates go through the same experience by completing the Bryq assessment which is a 20-minute online bias-free assessment, enabling us to screen candidates only on the job and company requirements. Once completed our team will reach out to inform you about the potential next steps of the process.BenefitsA full-time position based at Brinc’s global headquarters in Hong Kong (we're open to helping you relocate if you're the right candiate).A competitive salary, plus carried interest in your portfolioThe opportunity to join a growing venture investor at an early stage and to make a significant impact in its developmentWork in an inspiring environment and receive ongoing training to develop your technical, leadership and interpersonal skillsOption to travel within the Brinc office ecosystem for work stints (Hong Kong, China, Barcelona, Dubai, Bahrain, Singapore, Sydney, India, Poland, and more coming soon)Work for a purpose-driven organization that uses an ESG investment framework in order to help solve the world's most pressing issues by backing and supporting game-changing entrepreneurs  "
422; Degree holder in Computer Science or related disciplines Good technical knowledge on D365 F&O or Dynamics AX 2012 2-3 years working experience in designing, development and programming in Microsoft D365 F&O or Dynamics AX 2012 Experience in Microsoft .NET framework, MS Visual Studio and Power BI Excellent analytical and problem-solving skills Independent, motivated and can work under pressureWe offer competitive salary and good opportunity to the right candidate.Interested parties please click “Apply Now” to apply job.(All personal data collected will be used for recruitment purpose only and will be treated in accordance with our Personal Data Policy, which is available immediately upon request. Our Company reserves the right to modify the terms and conditions of package offered.)All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.          
423; In an Agile environment manage end-to-end systems development cycle from requirements analysis to coding, testing, UAT, implementation and maintenance  Develop high level/detailed technical designs, testing strategies, and implementation plans  Work in a dynamic, fast-paced environment that provides exposure to all areas of Finance  Understand and respond to business needs, facilitating and developing process workflow, data requirements, and specifications required to support implementation  Build strong relationships with business partners  Identify opportunities for cross-divisional collaboration and reuse of common solutions   SKLLS AND EXPERIENCE WE ARE LOOKING FOR  Bachelor's or Master's degree in Computer Science or related technical discipline  2-5 years of hands-on software development experience preferably in Java, C/C++, Python, or Scala, exposure to RDBMS and NoSQL datastores  Strong programming and problem solving skills  A clear understanding of data structures, algorithms, software design and core programming concepts  Strong full-stack technical design and development skills and experience  Comfortable with multi-tasking, managing multiple stakeholders and working as part of a team  Excellent communication skills including experience speaking to technical & business audiences and working globally  Interest in finance  
